n_train,opt_method,signal_noise,length_scale,dgl_parameter
5,CG,2.1249703845580914,1.9015705898327646,1.1817351679248644
5,CG,2.1139017652675984,1.9412124920854674,1.0248603303071748
5,CG,1.6993622945131646,2.2769509979855598,1.1350194349975216
5,CG,1.5734754817103285,2.301705421015094,1.0908850812764956
5,CG,1.5582017605379652,2.1348886603445796,0.997641979475753
5,CG,1.4600346246539935,1.9078493674392245,1.088838921092737
5,CG,1.1417821051810442,1.9082967664559143,1.2009418672662917
5,CG,0.9832946562567065,1.8375675997659888,1.2011273727960747
5,CG,0.9808953842768393,1.685242460220899,1.1407801710294396
5,CG,0.9650595185696453,1.5771992761023177,1.2371518187425077
5,CG,0.897125762851058,1.5605062189243502,1.2828562216238668
5,CG,0.8510300810593732,1.5227776047522439,1.2681992244869051
5,CG,0.8538755300330934,1.5067844650768774,1.27155288382927
5,CG,0.8479362301746606,1.4973645840815069,1.286966395278705
5,CG,0.8392407106122842,1.4929276693859976,1.2877217658476183
5,CG,0.8382295241012626,1.4891985783701849,1.2867033721704284
5,CG,0.8383110375214616,1.4880199383664052,1.2880989387853679
5,CG,0.8377103981889543,1.4878614850315797,1.2885980971613669
5,CG,0.8371270472082084,1.4872599310825114,1.2884942425371875
5,CG,0.8371607106868321,1.487056214990478,1.288575372979247
5,CG,0.8371186867386667,1.4870077257976633,1.2887189200409546
5,CG,0.8370551858245842,1.4869809563406717,1.2887216404105284
5,CG,0.8370404105385176,1.4869385772034527,1.2887161213358458
5,CG,0.8370379639931653,1.486918906559313,1.288739649578193
5,CG,0.8370312477041189,1.4869182595706933,1.2887439966630279
5,CG,0.837026644562895,1.4869139310098798,1.288742112332353
5,CG,0.8370267683101257,1.4869114727077217,1.288743057799064
5,CG,0.8370258051454694,1.4869104327256641,1.2887450596116226
5,CG,0.837024962136753,1.4869100494528866,1.2887449962240203
8,CG,1.7559077922949022,2.245633334529125,1.0120116579950216
8,CG,1.7521943793247559,2.2396668903332904,0.991859677192148
8,CG,1.5594869764016082,2.001525061721709,1.0030798683142097
8,CG,1.4628851976871509,1.9552862079833675,0.9813854103204349
8,CG,1.2209431980057124,1.8688950105754998,0.9889944531579598
8,CG,1.2195093062307838,1.8709177940898294,0.9994039962179259
8,CG,1.2070163325988235,1.887617393483118,0.9985692990644787
8,CG,1.2071765558588128,1.8878230695424876,0.9987983488107758
8,CG,1.2123186452924881,1.893504049738005,0.998603039165325
8,CG,1.2130171946093886,1.8933065911826115,0.9984596988718734
8,CG,1.2133735133861685,1.893191329564883,0.9985957555915834
8,CG,1.2134097428666288,1.893277941076118,0.9986025464853021
8,CG,1.2134263003642471,1.8933061422018436,0.9985925770093681
8,CG,1.2135309947568218,1.8933473627645585,0.9985928556969954
8,CG,1.2135311003790274,1.893347837869424,0.9985936752414256
8,CG,1.213530500626402,1.8933501163037494,0.9985935470465135
8,CG,1.2135305619129142,1.8933504963167325,0.9985933187926757
8,CG,1.2135309663523852,1.8933524518790223,0.9985934450682814
8,CG,1.2135335649220438,1.8933539859682078,0.998593422206569
10,CG,3.927571611654975,0.9510084825811185,-1.0912597122406873
10,CG,3.932699951073139,0.9273203692670341,-1.0949999928426328
10,CG,3.863066358753697,0.9056774610592849,-1.0438777349757682
10,CG,0.7664570297837408,0.8828538629943735,1.1715056572761144
10,CG,0.6513604769343313,1.4299008844084233,0.9732411816320984
10,CG,0.7966632608033206,1.7205749431116562,1.0288081905639384
10,CG,0.9097843424627841,1.7601441904053852,0.9734395396243872
10,CG,1.0999791181918894,1.788498703298958,1.0147490582112912
10,CG,1.156542811771245,1.796087348033745,0.9966226449440622
10,CG,1.256925231239504,1.8171521493397194,0.9985575729752999
10,CG,1.255584843678305,1.822839070883336,1.006649830025868
10,CG,1.2437832757448923,1.8786765204539826,1.0032400814580895
10,CG,1.3058426572949438,1.9126080623076085,0.9975075589776264
10,CG,1.3373309720735107,1.9301420987822897,1.0029563987235772
10,CG,1.343240365391122,1.935195580774471,1.002437759756774
10,CG,1.344174394022444,1.936458782974234,1.0027252470771375
10,CG,1.34453776060893,1.9379672372179566,1.002500028315903
10,CG,1.344475350274767,1.938355338426862,1.0026388309480792
10,CG,1.3441193018205417,1.9388597792381361,1.0025333243556884
10,CG,1.3439423955546421,1.9389518833107597,1.002595295032133
10,CG,1.343080053522873,1.938759956697458,1.0024683579919489
10,CG,1.3421517825367448,1.938443564210862,1.0025934180554579
10,CG,1.3406880262881757,1.9369499135724693,1.0024666988241908
10,CG,1.3401257910359052,1.936341968935683,1.0025899229611528
10,CG,1.3401353890316876,1.9363362623842424,1.0026055812859969
10,CG,1.340240854620836,1.9362744298845904,1.0026021504234863
10,CG,1.3404668371862662,1.9364447971558485,1.0026002208287437
12,CG,1.5833027630287821,2.340030752850806,0.8945132102520879
12,CG,1.7367532773819168,2.2241703442069514,0.9970038828864712
12,CG,1.7466808811325898,2.074429901861022,0.9978577794178985
